Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/07/2025,04/09/2025,NORTHSIDE CENTER FOR RELA,Health & Wellness,Sale,-25.00,
04/08/2025,04/09/2025,TST* TOTTO'S MARKET,Groceries,Sale,-63.17,
04/08/2025,04/09/2025,Amazon.com*W09BR8673,Groceries,Sale,-159.46,
04/08/2025,04/09/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-7.29,
04/08/2025,04/09/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-39.66,
04/08/2025,04/09/2025,CHEWY.COM,Shopping,Sale,-137.10,
04/08/2025,04/09/2025,AMAZON MKTPL*DY6FN0Y13,Shopping,Sale,-35.28,
04/07/2025,04/08/2025,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-6.60,
04/07/2025,04/08/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-6.12,
04/07/2025,04/08/2025,TST* TOTTO'S MARKET,Groceries,Sale,-27.32,
04/07/2025,04/08/2025,TST* TOTTO'S MARKET,Groceries,Sale,-6.50,
04/07/2025,04/07/2025,C.M.LIFE HAVEN,Bills & Utilities,Sale,-90.36,
04/06/2025,04/07/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-12.89,
04/06/2025,04/07/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-19.70,
04/05/2025,04/07/2025,TARGET        00018895,Shopping,Sale,-158.31,
04/04/2025,04/07/2025,HAROLDS CHICKEN SHACK,Food & Drink,Sale,-73.11,
04/05/2025,04/07/2025,PARKINGMETER1 8772427901,Travel,Sale,-3.75,
04/06/2025,04/07/2025,AMAZON MKTPL*7M4W59I13,Shopping,Sale,-15.11,
04/06/2025,04/07/2025,AMAZON MKTPL*580Z29MS3,Shopping,Sale,-53.65,
04/05/2025,04/06/2025,Disney Plus,Bills & Utilities,Sale,-12.11,
04/04/2025,04/06/2025,TST* TOTTO'S MARKET,Groceries,Sale,-25.80,
04/04/2025,04/06/2025,TST* TOTTO'S MARKET,Groceries,Sale,-8.25,
04/03/2025,04/06/2025,TST*DEVIL DAWGS - STATE,Food & Drink,Sale,-11.12,
04/04/2025,04/06/2025,GEICO  *AUTO,Bills & Utilities,Sale,-88.56,
04/03/2025,04/06/2025,TRADER JOE S #701,Groceries,Sale,-26.36,
04/01/2025,04/03/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.43,
04/02/2025,04/03/2025,AMAZON MKTPL*VZ0S10Y83,Shopping,Sale,-8.70,
04/01/2025,04/02/2025,AMAZON MKTPL*ZJ3D33AQ3,Shopping,Sale,-31.35,
04/01/2025,04/02/2025,Amazon.com*5F0OX1WX3,Shopping,Sale,-17.58,
04/01/2025,04/02/2025,carters  Inc.,Shopping,Sale,-179.75,
04/01/2025,04/02/2025,Amazon.com*AN1GI8IC3,Groceries,Sale,-149.85,
04/01/2025,04/02/2025,AMAZON MKTPL*MK66E6G83,Shopping,Sale,-65.85,
04/01/2025,04/02/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-7.29,
03/31/2025,04/01/2025,UMAI RESTAURANT,Food & Drink,Sale,-33.18,
03/31/2025,04/01/2025,TST* TOTTO'S MARKET,Groceries,Sale,-29.64,
